FiscalYear,Town,Admissions,Unduplicated Clients,TownGeo
2012,Andover,,,"Andover, CT
(41.728789, -72.370309)"
2014,Woodbridge,17,16,"Woodbridge, CT
(41.352933, -73.014356)"
2014,Bozrah,13,11,"Bozrah, CT
(41.544947, -72.175639)"
2014,Harwinton,28,13,"Harwinton, CT
(41.771487, -73.059941)"
2015,Oxford,62,36,"Oxford, CT
(41.434813, -73.117134)"
2014,Sharon,39,25,"Sharon, CT
(41.87943, -73.478873)"
2012,Coventry,43,21,"Coventry, CT
(41.774042, -72.309999)"
2015,New Fairfield,58,37,"New Fairfield, CT
(41.466074, -73.485613)"
2015,Hartland,,,"Hartland, CT
(41.991104, -72.997217)"
2014,Hartford,2328,1286,"Hartford, CT
(41.765775, -72.673356)"
2015,West Haven,410,282,"West Haven, CT
(41.272336, -72.949817)"
2016,Burlington,53,30,"Burlington, CT
(41.769828, -72.962087)"
2014,East Haven,394,269,"East Haven, CT
(41.277971, -72.871954)"
2014,North Stonington,15,11,"North Stonington, CT
(41.43775, -71.879919)"
2014,Westport,35,27,"Westport, CT
(41.14044, -73.353182)"
2015,Columbia,28,20,"Columbia, CT
(41.701926, -72.302082)"
2013,Canaan,28,17,"Canaan, CT
(41.963458, -73.334414)"
2014,Bethany,23,14,"Bethany, CT
(41.428339, -72.994834)"
2014,Shelton,231,157,"Shelton, CT
(41.316843, -73.092968)"
2014,Vernon,142,90,"Vernon, CT
(41.818792, -72.479029)"
2015,Lebanon,85,57,"Lebanon, CT
(41.636294, -72.212599)"
2012,Sprague,35,23,"Sprague, CT
(41.640692, -72.066224)"
2013,Farmington,40,22,"Farmington, CT
(41.72651, -72.824947)"
2012,East Haddam,25,19,"East Haddam, CT
(41.452557, -72.461201)"
2016,Bloomfield,43,27,"Bloomfield, CT
(41.830957, -72.737425)"
2015,Woodbridge,17,12,"Woodbridge, CT
(41.352933, -73.014356)"
2014,Hamden,259,178,"Hamden, CT
(41.382918, -72.907743)"
2014,Chaplin,21,19,"Chaplin, CT
(41.797715, -72.129312)"
2014,Thompson,54,37,"Thompson, CT
(41.958546, -71.86272)"
2015,Colchester,131,66,"Colchester, CT
(41.57348, -72.332129)"
2013,Enfield,251,165,"Enfield, CT
(41.976501, -72.591985)"
2013,Southbury,56,32,"Southbury, CT
(41.466592, -73.203497)"
2012,Putnam,66,45,"Putnam, CT
(41.914993, -71.911904)"
2012,Killingly,158,93,"Killingly, CT
(41.803361, -71.885766)"
2012,Bridgeport,1640,954,"Bridgeport, CT
(41.179195, -73.189476)"
2015,Montville,143,89,"Montville, CT
(41.45303, -72.136336)"
2013,Woodbridge,25,19,"Woodbridge, CT
(41.352933, -73.014356)"
2013,Andover,,,"Andover, CT
(41.728789, -72.370309)"
2015,Killingworth,14,11,"Killingworth, CT
(41.357274, -72.554824)"
2013,Windsor Locks,64,40,"Windsor Locks, CT
(41.924953, -72.627177)"
2014,Roxbury,17,7,"Roxbury, CT
(41.556245, -73.309401)"
2016,Norwalk,301,190,"Norwalk, CT
(41.11805, -73.412906)"
2014,Manchester,318,207,"Manchester, CT
(41.770668, -72.520868)"
2015,Ellington,58,26,"Ellington, CT
(41.903847, -72.470262)"
2012,Manchester,270,168,"Manchester, CT
(41.770668, -72.520868)"
2012,Windsor,75,40,"Windsor, CT
(41.852781, -72.64379)"
2015,Colebrook,7,,"Colebrook, CT
(41.991381, -73.097592)"
2016,Vernon,172,106,"Vernon, CT
(41.818792, -72.479029)"
2016,Lebanon,88,55,"Lebanon, CT
(41.636294, -72.212599)"
2016,Redding,10,8,"Redding, CT
(41.304131, -73.379918)"
2012,Southbury,61,41,"Southbury, CT
(41.466592, -73.203497)"
2014,Brooklyn,76,54,"Brooklyn, CT
(41.788252, -71.949628)"
2012,Plymouth,107,65,"Plymouth, CT
(41.671982, -73.052909)"
2016,New Fairfield,70,43,"New Fairfield, CT
(41.466074, -73.485613)"
2015,Redding,,,"Redding, CT
(41.304131, -73.379918)"
2012,Missing Town,550,395,"Missing Town, CT
(41.968899, -72.794197)"
2012,Meriden,333,220,"Meriden, CT
(41.537589, -72.8011)"
2014,Norfolk,23,12,"Norfolk, CT
(41.993599, -73.201621)"
2013,Lebanon,66,44,"Lebanon, CT
(41.636294, -72.212599)"
2016,Stonington,62,38,"Stonington, CT
(41.337685, -71.907182)"
2016,Avon,25,18,"Avon, CT
(41.809641, -72.830547)"
2016,Andover,22,9,"Andover, CT
(41.728789, -72.370309)"
2013,Milford,262,172,"Milford, CT
(41.224276, -73.057564)"
2015,Sherman,6,,"Sherman, CT
(41.578959, -73.496536)"
2015,Weston,9,6,"Weston, CT
(41.200939, -73.380701)"
2013,Burlington,40,22,"Burlington, CT
(41.769828, -72.962087)"
2014,Franklin,9,,"Franklin, CT
(41.611549, -72.145949)"
2012,Canterbury,34,22,"Canterbury, CT
(41.698351, -71.971118)"
2016,East Hartford,288,169,"East Hartford, CT
(41.769319, -72.643785)"
2012,Granby,20,12,"Granby, CT
(41.951103, -72.786055)"
2012,Avon,8,6,"Avon, CT
(41.809641, -72.830547)"
2014,Madison,54,39,"Madison, CT
(41.271447, -72.60086)"
2014,Pomfret,11,7,"Pomfret, CT
(41.897524, -71.962064)"
2015,Willington,27,15,"Willington, CT
(41.87481, -72.262753)"
2014,Redding,29,12,"Redding, CT
(41.304131, -73.379918)"
2012,Canaan,33,18,"Canaan, CT
(41.963458, -73.334414)"
2015,Tolland,40,25,"Tolland, CT
(41.872445, -72.369671)"
2016,Middletown,462,255,"Middletown, CT
(41.544654, -72.651713)"
2012,Old Lyme,33,20,"Old Lyme, CT
(41.313043, -72.331317)"
2016,West Haven,478,309,"West Haven, CT
(41.272336, -72.949817)"
2012,Stamford,279,175,"Stamford, CT
(41.051924, -73.539475)"
2013,Ridgefield,50,29,"Ridgefield, CT
(41.281456, -73.49843)"
2013,Stonington,72,44,"Stonington, CT
(41.337685, -71.907182)"
2015,Preston,15,9,"Preston, CT
(41.530948, -71.97251)"
2016,Bethlehem,24,12,"Bethlehem, CT
(41.639532, -73.20938)"
2013,Bozrah,15,11,"Bozrah, CT
(41.544947, -72.175639)"
2013,Cheshire,66,51,"Cheshire, CT
(41.498834, -72.901448)"
2015,Woodstock,19,11,"Woodstock, CT
(41.950652, -71.977285)"
2014,Enfield,294,169,"Enfield, CT
(41.976501, -72.591985)"
2016,Old Saybrook,40,21,"Old Saybrook, CT
(41.295121, -72.382292)"
2016,Mansfield,77,39,"Mansfield, CT
(41.765926, -72.233779)"
2016,Manchester,389,233,"Manchester, CT
(41.770668, -72.520868)"
2013,Naugatuck,242,156,"Naugatuck, CT
(41.491113, -73.056564)"
2015,East Hartford,316,198,"East Hartford, CT
(41.769319, -72.643785)"
2013,Warren,,,"Warren, CT
(41.744496, -73.348848)"
2013,Chaplin,12,6,"Chaplin, CT
(41.797715, -72.129312)"
2014,Scotland,,,"Scotland, CT
(41.6975, -72.119465)"
2016,New London,563,331,"New London, CT
(41.355167, -72.099561)"
2015,Bridgewater,10,6,"Bridgewater, CT
(41.535109, -73.366386)"
2012,East Granby,12,8,"East Granby, CT
(41.943168, -72.72611)"
2012,Stafford,37,22,"Stafford, CT
(41.98469, -72.290196)"
2015,Ridgefield,31,16,"Ridgefield, CT
(41.281456, -73.49843)"
2015,Plainville,146,87,"Plainville, CT
(41.674474, -72.85835)"
2012,Plainville,92,54,"Plainville, CT
(41.674474, -72.85835)"
2014,Morris,7,,"Morris, CT
(41.684395, -73.196691)"
2014,Sterling,39,25,"Sterling, CT
(41.707458, -71.829067)"
2013,Canterbury,26,12,"Canterbury, CT
(41.698351, -71.971118)"
2016,Easton,12,7,"Easton, CT
(41.252848, -73.297472)"
2015,Brookfield,96,52,"Brookfield, CT
(41.482447, -73.409561)"
2014,Derby,92,70,"Derby, CT
(41.322959, -73.089594)"
2015,Salisbury,27,14,"Salisbury, CT
(41.983411, -73.422268)"
2016,Wethersfield,119,63,"Wethersfield, CT
(41.712487, -72.663607)"
2016,Derby,126,75,"Derby, CT
(41.322959, -73.089594)"
2015,Somers,47,31,"Somers, CT
(41.985524, -72.447503)"
2013,Branford,226,158,"Branford, CT
(41.279802, -72.81404)"
2013,Oxford,51,32,"Oxford, CT
(41.434813, -73.117134)"
2015,Norwalk,363,213,"Norwalk, CT
(41.11805, -73.412906)"
2013,Colebrook,,,"Colebrook, CT
(41.991381, -73.097592)"
2013,East Granby,12,9,"East Granby, CT
(41.943168, -72.72611)"
2015,Rocky Hill,64,44,"Rocky Hill, CT
(41.667775, -72.636739)"
2014,Marlborough,40,22,"Marlborough, CT
(41.632043, -72.461309)"
2013,North Branford,68,52,"North Branford, CT
(41.324919, -72.770281)"
2014,West Hartford,150,82,"West Hartford, CT
(41.762008, -72.741807)"
2016,Beacon Falls,67,35,"Beacon Falls, CT
(41.444336, -73.060658)"
2016,Monroe,69,42,"Monroe, CT
(41.331612, -73.206797)"
2012,Westbrook,36,25,"Westbrook, CT
(41.283357, -72.441654)"
2016,Plainfield,205,108,"Plainfield, CT
(41.67731, -71.918131)"
2016,Watertown,199,101,"Watertown, CT
(41.606284, -73.11839)"
2012,Cheshire,37,29,"Cheshire, CT
(41.498834, -72.901448)"
2015,Bozrah,19,14,"Bozrah, CT
(41.544947, -72.175639)"
2013,West Hartford,133,79,"West Hartford, CT
(41.762008, -72.741807)"
2014,New Fairfield,55,31,"New Fairfield, CT
(41.466074, -73.485613)"
2014,Bridgewater,,,"Bridgewater, CT
(41.535109, -73.366386)"
2014,Coventry,63,37,"Coventry, CT
(41.774042, -72.309999)"
2015,Newington,133,81,"Newington, CT
(41.698002, -72.723843)"
2013,Sterling,39,21,"Sterling, CT
(41.707458, -71.829067)"
2012,Waterbury,1329,837,"Waterbury, CT
(41.554261, -73.043069)"
